ID,Título,Título Original,Títulos Alternativos,Autor,Autor Nombre Completo,Autor Nacimiento,Autor Muerte,Autor Época,Autor Biografía,Tipo de Obra,Género,Subgénero,Tema,Fuente Principal,Origen de Datos,Página PDF,Número de Actos,Número de Versos,Idioma,Fecha de Creación,Música Conservada,Compositor,Bibliotecas con Música,Bibliografía Musical,Mecenas,Edición Príncipe,Notas Bibliográficas,Manuscritos Conocidos,Ediciones Conocidas,Notas,Observaciones
2598,Alcina,Alcina,,Diamante,,,,Siglo de Oro,,zarzuela,comedia,,,FUENTESXI,pdf,52,,,Español,,Sí,Juan Hidalgo (Ms,,,,la Segunda parte de sus comedias (Madrid,"Zarzuela de Diamante, impresa en la Segunda parte de sus comedias (Madrid, 1674), 7-39 (la loa en las págs. 1-6): «Fiesta de zarzuela, que se representó a las bodas del Excelentísimo Señor Condestable de Castilla, con la Excelentísima Señora Doña María de Benavides.» Hay un fragmento manuscrito en la Colección Borbón-Lorenzana de la Biblioteca Pública de Toledo (Goldberg, núm. 67, págs. 109-110); y Sage, en Vélez de Guevara, Los celos hacen estrellas, 202, ha publicado un fragmento de la música de Juan Hidalgo (Ms. HC/824a, núm. 39, de la Hispanic Society of America).",,,,
3098,Alfeo y Aretusa,Alfeo y Aretusa,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3099,Allá darás rayo,Allá darás rayo,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3100,Allá se verá,Allá se verá,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2599,Amado y aborrecido,Amado y aborrecido,,Calderón,,,,Siglo de Oro,,comedia,comedia,,,AMBAS,web,,,,Español,,No,,,,,Escogidas VIII (Madrid,"Comedia de Calderón, impresa en Escogidas VIII (Madrid, 1657), fols. 165 v. - 190 v. Según Hesse, PQ, XXVII (1948), 44, es ésta la edición príncipe. En una compilación manuscrita del siglo XVIII se encuentra una «Loa q se fes em louvor da Sra Anna Pereira Abba de S. Clara do Porto por».",,,,
3104,Amadís y Niquea,Amadís y Niquea,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3107,Amar como se ha de amar,Amar como se ha de amar,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3108,Amar sin favorecer,Amar sin favorecer,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3109,Amar sin saber a quién,Amar sin saber a quién,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2601,Amar y dar tiempo al tiempo,Amar y dar tiempo al tiempo,,,,,,,,comedia,,,,FUENTESXI,pdf,5,,,Español,,No,,,,,,,,,,
3110,"Amar, servir y esperar","Amar, servir y esperar",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3118,Amor con vista,Amor con vista,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2605,Amor e ingenio y mujer,Amor e ingenio y mujer,,Luis Vélez,,,,Siglo de Oro,,comedia,comedia,,,FUENTESXI,pdf,2,,,Español,,No,,,,,la Parte primera de los donayres de Tersícore (Madrid,"Con el título de Amor, ingenio y mujer salió, a nombre de Mira de Amescua, una comedia en un libro antiguo de comedias, falto de portada y preliminares, que poseía Schaeffer. Según éste, ""esta comedia es desconocida y no es idéntica con la titulada Tercera de si misma: amor, ingenio y mujer del mismo poeta. Puede ser que sea la misma que se encuentra en un tomo que (según Barrera) posee el Señor Don Pascual de Gayangos (Lisboa, Antonio Alvarez, 1649), el que contiene tres comedias de mi tomo, y que quizá han sido reimpresas de éste en Portugal"" (Ocho comedias desconocidas, I, viii, n.). Sólo también en Diferentes XXXII (Zaragoza, 1640), donde va atribuida a Calderón; véase Profeti, «Appunti», 169-170, y Cotarelo, BRAE, XVII (1930), 616-617. El mismo Calderón rechaza La tercera de si misma en su Cuarta parte, como asimismo Vera Tassis en la Verdadera quinta parte. La tercera de si misma se publicó en Escogidas VIII (Madrid, 1657), fols. 134 v. - 165 r., donde se atribuye a Calderón, y hay copia manuscrita de 1626 en la B.N.M., 17.149 (Paz, I, 528). Paz la atribuye a Mira de Amescua, y dice que la copia es de mano de Juan Calderón; en esto, quizá, tuvo su origen la falsa atribución a don Juan Calderón. Pedro. Es posible, sin embargo, que las representaciones de los dos documentos no scan de esta obra sino de la comedia burlesca de Suárez de Deza y Avila, Amor, ingenio y mujer, en la discreta venganza, impresa en la Parte primera de los donayres de Tersícore (Madrid, 1663), fols. 196 r. - 216 r. En la B.N.M. hay copia manuscrita de letra del siglo XVIII, 14.858 (Paz, I, 23). Es ésta una comedia compuesta en gran parte de los títulos de otras. Comedia de Luis Vélez de Guevara, impresa en Escogidas XVIII (Madrid, 1662), fols. 1 r. - 20 v. En la B.N.M. hay un manuscrito del siglo XVII, 15.218 (Paz, I, 22).",,,,
3120,Amor en Lima es azar,Amor en Lima es azar,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3122,Amor engañado,Amor engañado,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2606,Amor es entendimiento,Amor es entendimiento,,Manuel Vidal,,,,Siglo de Oro,,comedia,comedia,,,AMBAS,web,,,,Español,,No,,,,,,"Comedia de Manuel Vidal y Salvador, al parecer inédita. Según Arteaga, el manuscrito se conservaba en la Biblioteca Valentina.",,,,
2607,Amor es esclavitud,Amor es esclavitud,,Manuel Vidal,,,,Siglo de Oro,,comedia,comedia,,histórico,FUENTESXI,pdf,13,,,Español,,No,,,,,,"Comedia de Manuel Vidal y Salvador. Según Arteaga, el manuscrito se conservaba en la Biblioteca Valentina. Hay una copia en la B.N.M., 16.890. Esta copia lleva en la primera hoja: «De D. P.i Vidal», y dice que «se representó al nombre de la Reyna Nuestra Señora Doña María Luissa de Borbón en el Coliseo del Real Retiro». Modelo la tiene «de don Pedro Vidal» y García de la Huerta sin atribución. No hay dramaturgo conocido con el nombre de don Pedro Vidal.",,,,
3123,Amor es más laberinto,Amor es más laberinto,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2608,Amor es poesía,Amor es poesía,,Manuel Vidal,,,,Siglo de Oro,,comedia,comedia,,,AMBAS,web,,,,Español,,No,,,,,,"Comedia de Manuel Vidal y Salvador. Según Arteaga, había manuscrito de esta comedia en la Biblioteca Valentina. El autógrafo, firmado del dramaturgo, se conserva hoy en la B.I.T.B., 82.650 (Simón Palmer, CB).",,,,
2610,Amor hace hablar los mudos,Amor hace hablar los mudos,,,,,,,,comedia,,,,FUENTESXI,pdf,6,,,Español,,No,,,,,,,,,,
3124,Amor no guarda amistad,Amor no guarda amistad,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3125,Amor por fuerza de estrella y portugués en Hungría,Amor por fuerza de estrella y portugués en Hungría,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2612,Amor procede de amor,Amor procede de amor,,,,,,,,comedia,,,,AMBAS,web,,,,Español,,No,,,,,,"Según el documento es de Manuel Vidal y Salvador. Arteaga dice que existía un manuscrito en la Biblioteca Valentina. La tienen Medel, atribuida a don Manuel Vidal, y García de la Huerta, a Vidal.",,,,
2613,Amor vence imposibles,Amor vence imposibles,,,,,,,,comedia,,,,FUENTESXI,pdf,13,,,Español,,No,,,,,,,,,,
3126,Amor vencido de amor,Amor vencido de amor,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2614,Amor vencido de celos,Amor vencido de celos,,,,,,,,comedia,,,,AMBAS,web,,,,Español,,No,,,,,,"Según Barrera, 16, es de Alejandro Arboreda, y, al parecer, inédita.",,,,
2615,Amor y amistad,Amor y amistad,,,,,,,,comedia,,,,FUENTESXI,pdf,13,,,Español,,No,,,,,,,,,,
3127,Amor y celos hacen discretos,Amor y celos hacen discretos,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3128,Amor y fortuna,Amor y fortuna,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2616,Amor y honor,Amor y honor,,Luis,,,,Siglo de Oro,,comedia,comedia,,,AMBAS,web,,,,Español,,No,,,,,"Escogidas II
(Madrid","Comedia de Luis de Belmonte Bermúdez, impresa en Escogidas II",,,,
2617,Amor y obligación,Amor y obligación,,,,,,,,comedia,comedia,,,AMBAS,web,,,,Español,,No,,,,,Escogidas XII (Madrid,"Existe la comedia de Moreto, impresa en Escogidas XII (Madrid, 1658), fols. 51 v. - 75 v., con este título, igual hay un manuscrito en la B.N.M., 16.824 (Paz, I, 26; Ciria Matilla, CB, XXX [1973], 77). También y Ribadeneyra» impresa en sus Varias poesías, sagradas, y profanas XVIII en la B.N.M., 16.860, autógrafa, y 16.848 (Paz, I, 26). La editaron",,,,
3129,"Amor, duelo y amistad","Amor, duelo y amistad",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3130,"Amor, fineza y poder","Amor, fineza y poder",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3131,"Amor, firmeza y corona","Amor, firmeza y corona",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3132,"Amor, honor y poder","Amor, honor y poder",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3133,"Amor, industria y poder","Amor, industria y poder",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3134,"Amor, ingenio y mujer","Amor, ingenio y mujer",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3135,"Amor, pleito y desafío","Amor, pleito y desafío",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3138,Amores igualan los reyes,Amores igualan los reyes,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3139,Amorosas sutilezas,Amorosas sutilezas,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2618,Amparar al enemigo,Amparar al enemigo,,Solis,,,,Siglo de Oro,,comedia,comedia,,,AMBAS,web,,,,Español,,No,,,,,Diferentes XLIII (Zaragoza,"Comedia de Solis, impresa en Diferentes XLIII (Zaragoza, 1650), tomo colecticio; véase Profeti, «Appunti», 176-177.",,,,
3105,Amán y Mardoqueo,Amán y Mardoqueo,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3141,Andrea de Ora,Andrea de Ora,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3142,Andrómeda y Perseo,Andrómeda y Perseo,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3145,Angelio y Aurelio,Angelio y Aurelio,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3144,Angélica,Angélica,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3148,Antes que amor es la patria y primer cerco de Roma,Antes que amor es la patria y primer cerco de Roma,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2620,Antes que todo es mi dama,Antes que todo es mi dama,,Calderón,,,,Siglo de Oro,,comedia,comedia,,,AMBAS,web,,,,Español,,No,,,,,,"Comedia de Calderón, publicada en Escogidas XVII (Madrid, 1662), fols. 62 r. - 87 r. Según Hesse, PO, XXVII (1948), 45, es ésta la edición princípe. En la B.N.M. hay copia manuscrita de 1678, 16.807 (Paz, I, 29).",,,,
3151,Antonio Roca,Antonio Roca,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3150,Antíoco y Seleuco,Antíoco y Seleuco,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3156,Apolo y Climene,Apolo y Climene,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3163,Argenis y Poliarco,Argenis y Poliarco,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3165,Armengoles (primera parte),Armengoles (primera parte),,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3166,Armengoles (segunda parte),Armengoles (segunda parte),,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3171,Así se casan las damas,Así se casan las damas,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2625,Así se cusan las damas,Así se cusan las damas,,Rojas Zorrilla,,,,Siglo de Oro,,comedia,comedia,,,FUENTESXI,pdf,5,,,Español,,No,,,,,la Segunda parte de sus comedias (Madrid,"10 de diciembre de 1679. José de Prado. Buen Retiro (Fuentes V). Comedia de Rojas Zorrilla, impresa en la Segunda parte de sus comedias (Madrid, 1645), fols. 195 r. - 218 v. Véase también Cleopatra.",,,,
3174,Atrevimiento y ventura,Atrevimiento y ventura,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3175,Audalla,Audalla,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3176,Aun de noche alumbra el sol,Aun de noche alumbra el sol,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3177,Aunuch,Aunuch,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3178,Auristela y Lisidante,Auristela y Lisidante,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3182,"Auto de la Fe, Esperanza, Diligencia y Penitencia","Auto de la Fe, Esperanza, Diligencia y Penitencia",,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3186,Baile de El amor y esperanza en palacio,Baile de El amor y esperanza en palacio,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3187,Baile del soldado de la guarda,Baile del soldado de la guarda,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3188,Baile entremesado de El verde del mes de mayo,Baile entremesado de El verde del mes de mayo,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3199,Barlaán y Josafat,Barlaán y Josafat,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3200,Barlán y Josafat (segunda parte),Barlán y Josafat (segunda parte),,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
2632,Basta callar,Basta callar,La batalla de Farsalia,Calderón,,,,Siglo de Oro,,auto,comedia,,histórico,AMBAS,web,,,,Español,,Sí,,,,,la Verdadera quinta parte de sus comedias (Madrid,"Comedia de Calderón, impresa en la Verdadera quinta parte de sus comedias (Madrid, 1682), 496-542: según se representó a sus Magestades en el Salón de su Real Palacio. »Hesse, PQ, XXVII (1948), 46, asevera que ésta es la edición príncipe y basada en un manuscrito. Un manuscrito, autógrafo en parte, se conserva en la B.N.M., Res. 91, como asimismo otra copia de fines del siglo XVII, 17.069 (Paz, I, 36). Según S. N. Treviño, HR, IV (1936), 333-341, hay dos versiones de esta comedia, una anterior a 1648 y la otra posterior al 13 de octubre de 1652. Treviño estudia el Ms. Res. 91 en PMLA, XLII (1937), 682-704, concluyendo que es posterior al 13 de octubre de 1652. Hay música conservada en el Archivo de la Cofradía de la Novena (Stein, RMus, III, 1-2 [1980], 218). Según Fajardo, hay una edición de 1689 de El mayor triunfo de Julio César y batalla de Farsalia, atribuida a Francisco Alcedo y Herrera, y la trae también en su lista con el título de La batalla de Farsalia, otra vez con atribución a Alcedo y Herrera. Los dos títulos constan en los catálogos de Medel y García de la Huerta, con la misma atribución. Barrera, 511, se refiere a la representación de 1689 y dice que la comedia se imprimió en el mismo año, aserto mal copiado por Salvá, I, 621, cuando da la fecha como 1680. Salvá posee una suelta atribuida a Solís, y hay otra en la B.M.M. (Cambronero) y dos en la B.L. (Valencia: Viuda de José de Orga, 1770). Parece que la atribución a Solís remonta sólo al siglo XVIII. Esta comedia no se publicó en 1681 en el tomo de comedias de dicho dramaturgo, en el cual debiera incluirse. Existe La victoria del Albis por Carlos V, del autor de comedias y dramaturgo Juan de Villegas (véanse Schaeffer, Ocho comedias desconocidas, I, xiv; Courtney Bruerton. HR, XV [1947], 360). Según Schaeffer es idéntica con La batalla del Albis y mayor hecho de Carlos V, de tres ingenios, de la cual hay copia manuscrita de 30 de abril de 1694 en la B.N.M., 15.380 (Paz, I, 57). Da fin con los siguientes versos: «y esta es la primera parte / del mayor hecho de Carlos» Hay manuscrito con la fecha de 1733 en la B.N.M., 1-12-19 (Aguiló, RLit, XXVIII [1970], 252). Salió suelta con el título de La batalla del Albis (Montaner; Medel; García de la Huerta). En la Biblioteca Palatina de Parma hay manuscrito del siglo XVII, «ad uso teatrale come mostrano la numerazione retrograda di giornata e i frequenti ritocchi. Il nome dell'autore [Juan Bautista de Villegas] è subito dopo il título: title indicazione, perché così possíamo togliere dal Barrera quell'innominato Villegas cui egli attribuisce la commedia. Di questa, o altra con lo stesso titolo, il Durán cita un ms. ove è attribuita a Tres ingenios; nel ms. parmense non v'è nulla che indichi pluralità di autori» (Restori, Studi di Filologia Romanza, VI [1893], 120-121). Vicenta Esquerdo, RLit, XLI, núm. 81 (enero-junio 1979), 221, trae noticias de un documento donde El Albis va atribuida a Mira de Amescua. Véase también Emperador Carlos V, El.",,,,
3201,Basta intentarlo,Basta intentarlo,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3218,Bien vengas mal si vienes solo,Bien vengas mal si vienes solo,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
3221,Bizarrías de Belisa,Bizarrías de Belisa,,,,,,,,comedia,,,,CATCOM,web,,,,Español,,No,,,,,,,,,Importado desde CATCOM backup,
